Word & Type	Greek	English translation	dStrongs = Grammar	Dictionary form =  Gloss	editions	Meaning variants	Spelling variants	Spanish translation	Sub-meaning	Conjoin word	sStrong+Instance	Alt Strongs
Mat.1.3#11	ἐγέννησεν	begat	G1080=V-AAI-3S	γεννάω=to beget	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			generó	to beget	#14	G1080_B	
Mat.1.3#12	τὸν Ἑσρώμ·	Esrom	G3588/G2074=T-ASM	Ἐσρώμ=Hezron / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz		Tyn: Ἐσρώμ ;	a el Hezrón	the Hezron»Hezron|Hezron@Gen.46.12	#15»16:G2074 #16	G3588_D	
Mat.1.3#13	δὲ	and	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#18	G1161_C	
Mat.1.3#14	εσρωμ	Esrom	G2074=N-PRI								G2074_A	
Mat.1.3#15	ἐγέννησεν	begat	G1080=V-AAI-3S	γεννάω=to beget	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			generó	to beget	#19	G1080_C	
Mat.1.3#16	τὸν Ἀράμ·	Aram	G3588/G689=T-ASM	Ἀράμ=Aram / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el Ram	the Ram»Ram|Ram@Rut.4.19	#20»21:G0689 #21	G3588_E	
Mat.1.4#01	δὲ	And	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#02	G1161_A	
Mat.1.4#02	αραμ	Aram	G689=N-PRI								G689_A	
Mat.1.4#03	ἐγέννησεν	begat	G1080=V-AAI-3S	γεννάω=to beget	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			generó	to beget	#03	G1080_A	
Mat.1.4#04	τὸν Ἀμιναδάβ·	Aminadab	G3588/G284=T-ASM	Ἀμιναδάβ=Amminadab / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el Aminadab	the Amminadab»Amminadab|Amminadab@Exo.6.23	#04»05:G0284 #05	G3588_A	
Mat.1.4#05	δὲ	and	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#07	G1161_B	
Mat.1.4#06	αμιναδαβ	Aminadab	G284=N-PRI								G284_A	
Mat.1.4#07	ἐγέννησεν	begat	G1080=V-AAI-3S	γεννάω=to beget	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			generó	to beget	#08	G1080_B	
Mat.1.4#08	τὸν Ναασσών·	Naasson	G3588/G3476=T-ASM	Ναασσών=Nahshon / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el Nahsón	the Nahshon»Nahshon|Nahshon@Exo.6.23	#09»10:G3476 #10	G3588_B	
Mat.1.4#09	δὲ	and	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#12	G1161_C	
Mat.1.4#10	ναασσων	Naasson	G3476=N-PRI								G3476_A	
Mat.1.4#11	ἐγέννησεν	begat	G1080=V-AAI-3S	γεννάω=to beget	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			generó	to beget	#13	G1080_C	
Mat.1.4#12	τὸν Σαλμών·	Salmon	G3588/G4533=T-ASM	Σαλμών=Salmon / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el Salmón	the Salmon»Salmon|Salmon@Rut.4.20	#14»15:G4533 #15	G3588_C	
