Word & Type	Greek	English translation	dStrongs = Grammar	Dictionary form =  Gloss	editions	Meaning variants	Spelling variants	Spanish translation	Sub-meaning	Conjoin word	sStrong+Instance	Alt Strongs
Mrk.8.27#11	φιλιππου	Philippi	G5376=N-GSM								G5376_A	
Mrk.8.27#12	και	and	G2532=CONJ								G2532_C	
Mrk.8.27#13	εν	by	G1722=PREP								G1722_A	
Mrk.8.27#14	τη	the way	G3588/G3598=T-DSF								G3588_E	
Mrk.8.27#15	επηρωτα	he asked	G1905=V-IAI-3S								G1905_A	
Mrk.8.27#16	αυτου	his	G846=P-GSM								G846_B	
Mrk.8.27#17	τους	disciples	G3588/G3101=T-APM								G3588_F	
Mrk.8.27#18	λεγων	saying	G3004=V-PAP-NSM								G3004_A	
Mrk.8.27#19	αυτοις	unto them	G846=P-DPM								G846_C	
Mrk.8.27#20	τινα	Whom	G5101=I-ASM								G5101_A	
Mrk.8.27#21	λεγουσιν	do	G3004=V-PAI-3P								G3004_B	
Mrk.8.27#22	ἄνθρωποι	men	G3588/G444=T-NPM	ἄνθρωπος=a human	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			hombres	humans	#29	G3588_G	
Mrk.8.27#23	λεγουσιν	say	G3004=V-PAI-3P								G3004_C	
Mrk.8.27#24	με	that I	G1473=P-1AS								G1473_A	
Mrk.8.27#25	ειναι	am	G1510=V-PAN								G1510_A	
Mrk.8.28#01	οἱ		G3588=T-NPM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			Los	[those] which	#01»03:G2036	G3588_A	
Mrk.8.28#02	δὲ	And	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#02	G1161_A	
Mrk.8.28#03	απεκριθησαν	they answered	G611=V-ADI-3P								G611_A	
Mrk.8.28#04	Ἰωάννην	John	G2491=N-ASM	Ἰωάννης=John	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz		WH: Ἰωάνην ;	Juan	John»John|John@Mat.3.1	#07	G2491_A	
Mrk.8.28#05	τὸν βαπτιστήν,	the Baptist	G3588/G910=T-ASM	Βαπτιστής=one who baptizes / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			el Sumergidor	the one who baptizes	#08»09:G0910 #09	G3588_B	
Mrk.8.28#06	καὶ	but	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			y	and	#10	G2532_A	
Mrk.8.28#07	ἄλλοι·	some	G243=A-NPM	ἄλλος=another	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			otros	another	#11	G243_A	
Mrk.8.28#08	Ἠλίαν,	Elias	G2243=N-ASM	Ἡλίας=Elijah	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz		WH: Ἠλείαν ;	Elías	Elijah»Elijah|Elijah@1Ki.17.1	#12	G2243_A	
Mrk.8.28#09	δὲ	and	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	and	#14	G1161_B	
Mrk.8.28#10	αλλοι	others	G243=A-NPM								G243_B	
Mrk.8.28#11	εἷς	One	G1520=A-ASM	εἷς=one	NA28+NA27+Tyn+SBL+WH+Treg	ἕνα (t=hena) one - G1520=A-ASM in: TR+Byz		Uno	one	#16	G1520_A	
Mrk.8.28#12	τῶν προφητῶν.	of the prophets	G3588/G4396=T-GPM	προφήτης=prophet / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de los voceros	the prophet	#17»18:G4396 #18	G3588_C	
Mrk.8.29#01	καὶ	And	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			Y	and	#01	G2532_A	
Mrk.8.29#02	αὐτὸς	he	G846=P-NSM	αὐτός=he/she/it/self	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			él	he	#02»03:G1905	G846_A	G3778
Mrk.8.29#03	λέγετε	saith	G3004=V-PAI-3S	λέγω=to speak	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			están diciendo	: speak»to speak|1_speak/ask	#09	G3004_A	
Mrk.8.29#04	αὐτῷ·	unto them	G846=P-DPM	αὐτός=he/she/it/self	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a él	to him	#16«15:G3004	G846_B	G3778
Mrk.8.29#05	δε	But	G1161=CONJ								G1161_A	
Mrk.8.29#06	τινα	whom	G5101=I-ASM								G5101_A	
Mrk.8.29#07	λεγετε	say	G3004=V-PAI-2P								G3004_B	
Mrk.8.29#08	σὺ	ye	G4771=P-2NP	σύ=you	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			Tú	you	#17»18:G1510	G4771_A	
Mrk.8.29#09	με	that I	G1473=P-1AS								G1473_A	
Mrk.8.29#10	εἶ	am	G1510=V-PAN	εἰμί=to be	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			estás siendo	to be	#18	G1510_A	G1488
Mrk.8.29#11	δε	And	G1161=CONJ								G1161_B	
Mrk.8.29#12	ὁ	Peter	G3588/G4074=T-NSM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			el	the	#19»20:G5547	G3588_A	
Mrk.8.29#13	αποκριθεις	answereth	G611=V-AOP-NSM								G611_A	
Mrk.8.29#14	λεγει	and saith	G3004=V-PAI-3S								G3004_C	
Mrk.8.29#15	αυτω	unto him	G846=P-DSM								G846_C	
Mrk.8.29#16	συ	Thou	G4771=P-2NS								G4771_B	
Mrk.8.29#17	ει	art	G1510=V-PAI-2S								G1510_B	
Mrk.8.29#18	χριστός.	the Christ	G3588/G5547=T-NSM	Χριστός=Christ	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			Ungido	Christ»Christ|Jesus@Mat.1.1	#20	G3588_B	
Mrk.8.30#01	καὶ	And	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			Y	and	#01	G2532_A	
Mrk.8.30#02	ἐπετίμησεν	he charged	G2008=V-AAI-3S	ἐπιτιμάω=to rebuke	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			ordenó rigurosamente	to rebuke	#02	G2008_A	
Mrk.8.30#03	αὐτοῖς	them	G846=P-DPM	αὐτός=he/she/it/self	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a ellos	to them	#03«02:G2008	G846_A	G3778
Mrk.8.30#04	ἵνα	that	G2443=CONJ	ἵνα=in order that/to	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			para que	in order to	#04	G2443_A	G3363
Mrk.8.30#05	λέγωσιν	they should tell	G3004=V-PAS-3P	λέγω=to speak	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			estén diciendo	: speak»to speak|1_speak/ask	#06	G3004_A	
Mrk.8.30#06	μηδενι	no man	G3367=A-DSM-N								G3367_A	
Mrk.8.30#07	περὶ	of	G4012=PREP	περί=about	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			acerca de	about	#07	G4012_A	
Mrk.8.30#08	αὐτοῦ.	him	G846=P-GSM	αὐτός=he/she/it/self	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			él	of him	#08«07:G4012	G846_B	G3778
Mrk.8.31#01	τὸν		G3588=T-GPM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a el	the	#07»08:G5207	G3588_A	
Mrk.8.31#02	καὶ	And	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			y	and	#13	G2532_A	
Mrk.8.31#03	ηρξατο	he began	G756=V-ADI-3S								G756_A	
Mrk.8.31#04	διδασκειν	to teach	G1321=V-PAN								G1321_A	
Mrk.8.31#05	αυτους	them	G846=P-APM								G846_A	
Mrk.8.31#06	οτι	that	G3754=CONJ								G3754_A	
Mrk.8.31#07	τῶν	the Son	G3588/G5207=T-ASM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			los	the	#16»17:G4245	G3588_B	
Mrk.8.31#08	τῶν	of man	G3588/G444=T-GSM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+Byz+KJV			los	the	#19»20:G0749	G3588_C	
Mrk.8.31#09	δει	must	G1163=V-PAI-3S								G1163_A	
Mrk.8.31#10	παθειν	suffer	G3958=V-2AAN								G3958_A	
Mrk.8.31#11	πολλα	many things	G4183=A-APN								G4183_A	
Mrk.8.31#12	καὶ	and	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			y	and	#21	G2532_B	
Mrk.8.31#13	αποδοκιμασθηναι	be rejected	G593=V-APN								G593_A	
Mrk.8.31#14	απο	of	G575=PREP								G575_A	
Mrk.8.31#15	πρεσβυτερων	the elders	G4245=A-GPM-C								G4245_A	
Mrk.8.31#16	καὶ	and	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			y	and	#24	G2532_C	
Mrk.8.31#17	αρχιερεων	the chief priests	G749=N-GPM								G749_A	
Mrk.8.31#18	καὶ	and	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			y	and	#26	G2532_D	
Mrk.8.31#19	γραμματεων	scribes	G1122=N-GPM								G1122_A	
Mrk.8.31#20	και	and	G2532=CONJ								G2532_E	
Mrk.8.31#21	αποκτανθηναι	be killed	G615=V-APN								G615_A	
Mrk.8.31#22	και	and	G2532=CONJ								G2532_F	
Mrk.8.31#23	μετὰ	after	G3326=PREP	μετά=with/after	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			después	after	#27	G3326_A	
Mrk.8.31#24	τρεῖς	three	G5140=A-APF	τρεῖς, τρία=three	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			(de) tres	three	#28	G5140_A	
Mrk.8.31#25	ἡμέρας	days	G2250=N-APF	ἡμέρα=day	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			días	days	#29	G2250_A	
Mrk.8.31#26	ἀναστῆναι·	rise again	G450=V-2AAN	ἀνίστημι=to arise	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			levantar	to arise	#30	G450_A	
Mrk.8.32#01	καὶ	And	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			Y	and	#01	G2532_A	
Mrk.8.32#02	ἐλάλει.¶	he spake	G2980=V-IAI-3S	λαλέω=to speak	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			estaba hablando	to speak	#05	G2980_A	
Mrk.8.32#03	ὁ	that saying	G3588/G3056=T-ASM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			el	the	#08»09:G4074	G3588_A	
Mrk.8.32#04	παρρησια	openly	G3954=N-DSF								G3954_A	
Mrk.8.32#05	και	And	G2532=CONJ								G2532_B	
Mrk.8.32#06	Πέτρος	Peter	G3588/G4074=T-NSM	Πέτρος=Peter	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			Pedro	Peter»Peter|Peter@Mat.4.18	#09	G3588_B	
Mrk.8.32#07	προσλαβομενος	took	G4355=V-2AMP-NSM								G4355_A	
Mrk.8.32#08	αὐτὸν	him	G846=P-ASM	αὐτός=he/she/it/self	NA28+NA27+Tyn«3+SBL+WH+Treg+TR«3+Byz«3			a él	him	#10»11:G0757	G846_A	G3778
Mrk.8.32#09	ηρξατο	and began	G756=V-ADI-3S								G756_A	
Mrk.8.32#10	ἐπιτιμᾶν	to rebuke	G2008=V-PAN	ἐπιτιμάω=to rebuke	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			estar reprendiendo	to rebuke	#12	G2008_A	
Mrk.8.32#11	αὐτῷ.	him	G846=P-DSM	αὐτός=he/she/it/self	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a él	to him	#13«12:G2008	G846_B	G3778
Mrk.8.33#01	ὁ		G3588=T-NSM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			El	[that] which	#01»03:G1994	G3588_A	
Mrk.8.33#02	δὲ	But	G1161=CONJ	δέ=but/and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			pero	but	#02	G1161_A	
Mrk.8.33#03	ἐπιστραφεὶς	when he had turned about	G1994=V-2APP-NSM	ἐπιστρέφω=to turn	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			habiendo sido vuelto	to turn	#03	G1994_A	
Mrk.8.33#04	καὶ	and	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			y	and	#04	G2532_A	
Mrk.8.33#05	ιδων	looked on	G3708=V-2AAP-NSM								G3708_A	
Mrk.8.33#06	αὐτοῦ	his	G846=P-GSM	αὐτός=he/she/it/self	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de él	his	#08«07:G3101	G846_A	G3778
Mrk.8.33#07	τῷ	disciples	G3588/G3101=T-APM	ὁ=the/this/who	TR+Byz			a el	the	#10»11:G4074	G3588_B	
Mrk.8.33#08	επετιμησεν	he rebuked	G2008=V-AAI-3S								G2008_A	
Mrk.8.33#09	Πέτρῳ	Peter	G3588/G4074=T-DSM	Πέτρος=Peter	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a Pedro	Peter»Peter|Peter@Mat.4.18	#11	G3588_C	
Mrk.8.33#10	λέγει·	saying	G3004=V-PAP-NSM	λέγω=to speak	NA28+NA27+Tyn+SBL+WH+Treg	λέγων (t=legōn) speaking - G3004=V-PAP-NSM in: TR+Byz		está diciendo	: speak»to speak|1_speak/ask	#13	G3004_A	
Mrk.8.33#11	ὕπαγε	Get thee	G5217=V-PAM-2S	ὑπάγω=to go	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			Estés yendo	to go	#14	G5217_A	
Mrk.8.33#12	ὀπίσω	behind	G3694=ADV	ὀπίσω=after	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			detrás de	after	#15	G3694_A	
Mrk.8.33#13	μου	me	G1473=P-1GS								G1473_A	
Mrk.8.33#14	σατανᾶ,	Satan	G4567=N-VSM	Σατανᾶς=Satan	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			Adversario	Satan»Satan|Satan@Deu.13.13	#17	G4567_A	
Mrk.8.33#15	ὅτι	for	G3754=CONJ	ὅτι=that/since	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			porque	: since»that/since|2_since	#18	G3754_A	
Mrk.8.33#16	φρονεῖς	savourest	G5426=V-PAI-2S	φρονέω=to reason	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			estás pensando	to think	#20	G5426_A	
Mrk.8.33#17	ου	not	G3756=PRT-N								G3756_A	
Mrk.8.33#18	τὰ	the things	G3588=T-APN	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			las (cosas)	[those] which [are]	#21	G3588_D	
Mrk.8.33#19	τοῦ θεοῦ	that be of God	G3588/G2316=T-GSM	θεός=God / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de el Dios	the God	#22»23:G2316 #23	G3588_E	
Mrk.8.33#20	ἀλλὰ	but	G235=CONJ	ἀλλά=but	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			sino	but	#24	G235_A	
Mrk.8.33#21	τὰ	the things	G3588=T-APN	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			las (cosas)	[those] which [are]	#25	G3588_F	
Mrk.8.33#22	τῶν ἀνθρώπων.	that be of men	G3588/G444=T-GPM	ἄνθρωπος=a human / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de los hombres	the humans	#26»27:G0444 #27	G3588_G	
Mrk.8.34#01	καὶ	And	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			Y	and	#01	G2532_A	
Mrk.8.34#02	προσκαλεσάμενος	when he had called	G4341=V-ADP-NSM	προσκαλέω=to call to/summon	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			habiendo llamado hacia (sí)	to summon	#02	G4341_A	
Mrk.8.34#03	τὸν ὄχλον	the people	G3588/G3793=T-ASM	ὁ=the/this/who / ὄχλος=crowd	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a la muchedumbre	the crowd	#03»04:G3793 #04	G3588_A	
Mrk.8.34#04	σὺν	with	G4862=PREP	σύν=with	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			junto con	with	#05	G4862_A	
Mrk.8.34#05	αὐτοῦ	his	G846=P-GSM	αὐτός=he/she/it/self	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de él	his	#08«07:G3101	G846_A	G3778
Mrk.8.34#06	τοις	disciples	G3588/G3101=T-DPM								G3588_B	
Mrk.8.34#07	συν	also	G4862=PREP								G4862_B	
Mrk.8.34#08	ειπεν	he said	G3004=V-2AAI-3S								G3004_A	
Mrk.8.34#09	αὐτοῖς·	unto them	G846=P-DPM	αὐτός=he/she/it/self	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a ellos	to them	#10«09:G2036	G846_B	G3778
Mrk.8.34#10	οστις	Whosoever	G3748=R-NSM								G3748_A	
Mrk.8.34#11	θέλει	will	G2309=V-PAI-3S	θέλω=to will/desire	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			está queriendo	to will	#13	G2309_A	
Mrk.8.34#12	ελθειν	come	G2064=V-2AAN								G2064_A	
Mrk.8.34#13	ὀπίσω	after	G3694=ADV	ὀπίσω=after	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			detrás de	after	#14	G3694_A	
Mrk.8.34#14	μου	me	G1473=P-1GS								G1473_A	
Mrk.8.34#15	ἀπαρνησάσθω	let him deny	G533=V-ADM-3S	ἀπαρνέομαι=to deny	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			repúdiese	to deny	#17	G533_A	
Mrk.8.34#16	ἑαυτὸν	himself	G1438=F-3ASM	ἑαυτοῦ=my/your/him-self	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a sí mismo	himself	#18«17:G0533	G1438_A	
Mrk.8.34#17	καὶ	and	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			y	and	#19	G2532_B	
Mrk.8.34#18	ἀράτω	take up	G142=V-AAM-3S	αἴρω=to take up	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			alce	to take up	#20	G142_A	
Mrk.8.34#19	αὐτοῦ	his	G846=P-GSM	αὐτός=he/she/it/self	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de él	his	#23«22:G4716	G846_C	G3778
Mrk.8.34#20	τον	cross	G3588/G4716=T-ASM								G3588_C	
Mrk.8.34#21	καὶ	and	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			y	and	#24	G2532_C	
Mrk.8.34#22	ἀκολουθείτω	follow	G190=V-PAM-3S	ἀκολουθέω=to follow	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			esté siguiendo	to follow	#25	G190_A	
Mrk.8.34#23	μοι	me	G1473=P-1DS								G1473_B	
Mrk.8.35#01	γὰρ	For	G1063=CONJ	γάρ=for	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			porque	for	#02	G1063_A	
Mrk.8.35#02	ὃς ἂν	whosoever	G3739/G302=R-NSM	ἄν=if / ὅς, ἥ=which	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			quien probable	which if	#11»14:G0622 #13	G3739_A	
Mrk.8.35#03	θελη	will	G2309=V-PAS-3S								G2309_A	
Mrk.8.35#04	σωσαι	save	G4982=V-AAN								G4982_A	
Mrk.8.35#05	αὐτοῦ	his	G846=P-GSM	αὐτός=he/she/it/self	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de él	his	#17«16:G5590	G846_A	G3778
Mrk.8.35#06	τοῦ	life	G3588/G5590=T-ASF	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de la	the	#21»22:G2098	G3588_A	
Mrk.8.35#07	απολεσει	shall lose	G622=V-FAI-3S								G622_A	
Mrk.8.35#08	αὐτήν.	it	G846=P-ASF	αὐτός=he/she/it/self	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a ella	her	#25«24:G4982	G846_B	G3778
Mrk.8.35#09	δ	but	G1161=CONJ								G1161_A	
Mrk.8.35#10	αν	whosoever	G302/G3739=PRT								G302_A	
Mrk.8.35#11	απολεση	shall lose	G622=V-AAS-3S								G622_B	
Mrk.8.35#12	αυτου	his	G846=P-GSM								G846_C	
Mrk.8.35#13	την	life	G3588/G5590=T-ASF								G3588_B	
Mrk.8.35#14	ενεκεν	for	G1752=PREP								G1752_A	
Mrk.8.35#15	εμου	my sake	G1473=P-1GS								G1473_A	
Mrk.8.35#16	και	and	G2532=CONJ								G2532_A	
Mrk.8.35#17	του	the gospel’s	G3588/G2098=T-GSN								G3588_C	
Mrk.8.35#18	ουτος	the same	G3778=D-NSM								G3778_A	
Mrk.8.35#19	σωσει	shall save	G4982=V-FAI-3S								G4982_B	
Mrk.8.35#20	αυτην	it	G846=P-ASF								G846_D	
Mrk.8.36#01	γὰρ	For	G1063=CONJ	γάρ=for	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			porque	for	#02	G1063_A	
Mrk.8.36#02	τι	what	G5101=I-NSN								G5101_A	
Mrk.8.36#03	ὠφελεῖ	shall it profit	G5623=V-FAI-3S	ὠφελέω=to help	NA28+NA27+Tyn+SBL+WH	ὠφελήσει (t=ōphelēsei) will profit - G5623=V-FAI-3S in: Treg+TR+Byz		está beneficiando	to help	#03	G5623_A	
Mrk.8.36#04	ἄνθρωπον	a man	G444=N-ASM	ἄνθρωπος=a human	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a hombre	a human	#05	G444_A	
Mrk.8.36#05	ἐὰν	if	G1437=COND	ἐάν=if	Treg+TR+Byz			si alguna vez	if	#06	G1437_A	
Mrk.8.36#06	κερδῆσαι	he shall gain	G2770=V-AAS-3S	κερδαίνω=to gain	NA28+NA27+Tyn+SBL+WH	κερδήσῃ (t=kerdēsē) he shall gain - G2770=V-AAS-3S in: Treg+TR+Byz		ganar	to gain	#07	G2770_A	
Mrk.8.36#07	τὸν κόσμον	the	G3588/G2889=T-ASM	κόσμος=world / ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			el mundo	the world	#08»09:G2889 #09	G3588_A	
Mrk.8.36#08	ὅλον	whole	G3650=A-ASM	ὅλος=all	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			entero	all	#10	G3650_A	
Mrk.8.36#09	τὴν	world	G3588/G2889=T-ASM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			el	the	#13»14:G5590	G3588_B	
Mrk.8.36#10	και	and	G2532=CONJ								G2532_A	
Mrk.8.36#11	ζημιωθη	lose	G2210=V-APS-3S								G2210_A	
Mrk.8.36#12	αὐτοῦ;	his own	G846=P-GSM	αὐτός=he/she/it/self	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de él?	his	#15«14:G5590	G846_A	G3778
Mrk.8.36#13	την	soul	G3588/G5590=T-ASF								G3588_C	
Mrk.8.37#01	ἢ	Or	G2228=PRT	ἤ=or/than	TR+Byz			o	or	#01	G2228_A	
Mrk.8.37#02	τί	what	G5101=I-ASN	τίς=which?	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			¿Qué	what?	#02»04:G1325	G5101_A	
Mrk.8.37#03	δοῖ	shall	G1325=V-FAI-3S	δίδωμι=to give	NA28+NA27+Tyn+SBL+WH+Treg	δώσει (t=dōsei) will give - G1325=V-FAI-3S in: TR+Byz		dé	to give	#04	G1325_A	
Mrk.8.37#04	ἄνθρωπος	a man	G444=N-NSM	ἄνθρωπος=a human	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			hombre	a human	#05	G444_A	
Mrk.8.37#05	δωσει	give	G1325=V-FAI-3S								G1325_B	
Mrk.8.37#06	ἀντάλλαγμα	in exchange for	G465=N-ASN	ἀντάλλαγμα=in exchange	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			a cambio de	in exchange	#06	G465_A	
Mrk.8.37#07	αὐτοῦ;	his	G846=P-GSM	αὐτός=he/she/it/self	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de él?	of him	#09«08:G5590	G846_A	G3778
Mrk.8.37#08	της	soul	G3588/G5590=T-GSF								G3588_A	
Mrk.8.38#01	τοὺς		G3588=T-APM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			(de) las	the	#07»09:G3056	G3588_A	
Mrk.8.38#02	ος	Whosoever	G3739/G302=R-NSM								G3739_A	
Mrk.8.38#03	γαρ	therefore	G1063=CONJ								G1063_A	
Mrk.8.38#04	επαισχυνθη	shall be ashamed	G1870=V-AOS-3S								G1870_A	
Mrk.8.38#05	ἐμοὺς	of me	G1473=P-1AS	ἐμός=my	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			mis	my	#08»09:G3056	G1473_A	G1699
Mrk.8.38#06	καὶ	and of	G2532=CONJ	καί=and	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			y	and	#16	G2532_A	
Mrk.8.38#07	εμους	my	G1699=S-1SAPM								G1699_A	
Mrk.8.38#08	λογους	words	G3056=N-APM								G3056_A	
Mrk.8.38#09	εν	in	G1722=PREP								G1722_A	
Mrk.8.38#10	ταυτη	this	G3778=D-DSF								G3778_A	
Mrk.8.38#11	ὁ	adulterous	G3588/G3428=T-DSF	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			el	the	#19»20:G5207	G3588_B	
Mrk.8.38#12	και	and	G2532=CONJ								G2532_B	
Mrk.8.38#13	αμαρτωλω	sinful	G268=A-DSF								G268_A	
Mrk.8.38#14	τοῦ	generation	G3588/G1074=T-DSF	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de el	the	#21»22:G0444	G3588_C	
Mrk.8.38#15	αὐτὸν	of him	G846=P-ASM	αὐτός=he/she/it/self	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			(de) él	him	#24«23:G1870	G846_A	G3778
Mrk.8.38#16	και	also	G2532=CONJ								G2532_C	
Mrk.8.38#17	επαισχυνθησεται	shall	G1870=V-FOI-3S								G1870_B	
Mrk.8.38#18	τῇ	the Son	G3588/G5207=T-NSM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			el	the	#28»29:G1391	G3588_D	
Mrk.8.38#19	τοῦ	of man	G3588/G444=T-GSM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			de el	the	#30»31:G3962	G3588_E	
Mrk.8.38#20	επαισχυνθησεται	be ashamed	G1870=V-FOI-3S								G1870_C	
Mrk.8.38#21	οταν	when	G3752=CONJ								G3752_A	
Mrk.8.38#22	ελθη	he cometh	G2064=V-2AAS-3S								G2064_A	
Mrk.8.38#23	εν	in	G1722=PREP								G1722_B	
Mrk.8.38#24	τῶν	the glory	G3588/G1391=T-DSF	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			los	the	#34»35:G0032	G3588_F	
Mrk.8.38#25	τῶν	of	G3588/G3962=T-GSM	ὁ=the/this/who	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz			los	the	#36»37:G0040	G3588_G	
Mrk.8.38#26	αυτου	his	G846=P-GSM								G846_B	
Mrk.8.38#27	του	Father	G3588/G3962=T-GSM								G3588_H	
